L,thr,TPR,FPR_per_min,TP,FP,FN,Dips
4,1.8,0.436527153234175,18.475,1262,3695,1629,2891
4,2.2,0.004495159059474412,0.265,13,53,2879,2892
4,2.5,0.0,0.0,0,0,2911,2911
4,3.0,0.0,0.0,0,0,2898,2898
6,1.8,0.5063377869133264,21.98,1478,4396,1441,2919
6,2.2,0.29211160868067515,12.185,848,2437,2055,2903
6,2.5,0.07135506003430532,3.26,208,652,2707,2915
6,3.0,0.0006882312456985547,0.03,2,6,2904,2906
8,1.8,0.4927385892116183,21.27,1425,4254,1467,2892
8,2.2,0.34289664707915657,14.76,992,2952,1901,2893
8,2.5,0.17665396605472808,7.53,510,1506,2377,2887
8,3.0,0.018704537582265326,0.825,54,165,2833,2887
