det_index,det_time_s,det_value_smoothed_psi
41813,5852.0,1486.1074285714287
42300,5856.87,1497.1107142857143
42666,5860.53,1583.285571428571
43031,5864.18,1619.8119999999997
43701,5870.88,1675.9355714285712
44126,5875.13,1709.576857142857
44648,5880.35,1727.357714285714
44978,5883.65,1743.444857142857
45403,5887.9,1730.317142857143
46438,5898.25,1742.9265714285714
47046,5904.33,1772.6704285714281
47534,5909.21,1757.9527142857144
47835,5912.22,1773.7407142857146
48628,5920.15,1760.6564285714285
49600,5929.87,1762.0652857142852
50696,5940.83,1766.5179999999996
51790,5951.77,1768.1809999999996
52459,5958.46,1791.6715714285715
53007,5963.94,1768.4717142857146
53979,5973.66,1770.0744285714284
55075,5984.62,1769.4287142857145
56230,5996.17,1774.0512857142858
56657,6000.44,1789.5965714285715
57386,6007.73,1771.0285714285717
57811,6011.98,1792.2502857142856
58480,6018.67,1771.2367142857142
59635,6030.22,1773.5025714285712
60608,6039.95,1772.4687142857142
61400,6047.87,1767.2988571428568
62069,6054.56,1762.9429999999998
62677,6060.64,1755.3527142857145
63345,6067.32,1753.3441428571434
63954,6073.41,1747.4502857142857
64562,6079.49,1745.2235714285714
65231,6086.18,1745.2498571428573
65838,6092.25,1744.209285714286
66448,6098.35,1744.0634285714286
67056,6104.43,1747.8874285714285
67603,6109.9,1743.3882857142855
68211,6115.98,1737.8142857142852
68637,6120.24,1731.1425714285713
69062,6124.49,1720.071857142857
69428,6128.15,1713.6831428571425
69792,6131.79,1712.1718571428569
70217,6136.04,1703.3805714285713
70583,6139.7,1698.9515714285712
70947,6143.34,1696.8865714285714
71373,6147.6,1688.4101428571425
71738,6151.25,1690.4741428571426
72163,6155.5,1687.5845714285715
72529,6159.16,1684.905
72894,6162.81,1686.6174285714285
73319,6167.06,1685.4165714285716
74110,6174.97,1685.3007142857143
74535,6179.22,1680.3808571428574
74901,6182.88,1682.3985714285714
75326,6187.13,1682.3637142857142
75691,6190.78,1684.617857142857
76117,6195.04,1682.734571428571
76542,6199.29,1682.8994285714284
76908,6202.95,1681.8204285714285
77332,6207.19,1682.4747142857143
77698,6210.85,1682.517
78123,6215.1,1681.3565714285712
78488,6218.75,1681.7812857142858
78914,6223.01,1679.390571428571
79280,6226.67,1678.277714285714
79645,6230.32,1680.1825714285715
80069,6234.56,1677.8752857142858
80435,6238.22,1677.5204285714287
80800,6241.87,1679.291142857143
81225,6246.12,1678.0744285714286
81590,6249.77,1677.8775714285714
82015,6254.02,1680.1848571428573
82381,6257.68,1676.6734285714288
82747,6261.34,1679.8545714285717
83171,6265.58,1676.7102857142856
83537,6269.24,1679.7895714285712
84327,6277.14,1680.3352857142856
84752,6281.39,1680.518714285714
85119,6285.06,1679.3714285714289
85543,6289.3,1679.5401428571427
85909,6292.96,1681.7261428571428
86334,6297.21,1680.471
86759,6301.46,1683.5677142857146
87125,6305.12,1679.674857142857
87491,6308.78,1680.4685714285715
87915,6313.02,1679.7211428571425
88281,6316.68,1680.453142857143
88706,6320.93,1678.6198571428572
89436,6328.23,1661.0669999999996
89861,6332.48,1651.5595714285714
90530,6339.17,1670.2074285714284
